Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.257129,0.000009415,-0.256904,8.76449E-05,0.100317,-0.026968,4.13772,0.358305
-0.255954,1.05825E-05,-0.255726,9.16165E-05,0.100317,-0.026968,4.14824,0.35713
-0.255086,0.000011441,-0.254854,9.47436E-05,0.100317,-0.026968,4.15539,0.356261
-0.255189,1.13398E-05,-0.254953,9.51764E-05,0.100317,-0.026968,4.16237,0.35636
-0.255433,1.10995E-05,-0.255193,9.52098E-05,0.100317,-0.026968,4.16967,0.356599
-0.25566,1.08752E-05,-0.255417,9.52835E-05,0.100317,-0.026968,4.17682,0.356821
-0.256391,1.01527E-05,-0.256145,9.39225E-05,0.100317,-0.026968,4.18637,0.357546
-0.256906,9.64232E-06,-0.256656,9.31642E-05,0.100581,-0.0269619,4.19319,0.358319
-0.257181,9.36933E-06,-0.256928,9.30853E-05,0.100581,-0.0269619,4.20143,0.35859
-0.256385,1.01605E-05,-0.256128,9.60953E-05,0.100581,-0.0269619,4.2082,0.357792
-0.255427,1.11094E-05,-0.255166,9.95789E-05,0.100581,-0.0269619,4.21653,0.356834
-0.256053,1.04922E-05,-0.255788,9.84495E-05,0.100581,-0.0269619,4.2235,0.357453
-0.256814,9.73952E-06,-0.256545,9.69116E-05,0.100581,-0.0269619,4.23126,0.358207
-0.256028,1.05187E-05,-0.255756,9.99303E-05,0.100581,-0.0269619,4.23802,0.357421
-0.256186,1.03629E-05,-0.25591,0.000100153,0.100581,-0.0269619,4.24824,0.357573
-0.256294,1.02555E-05,-0.256014,0.000100517,0.100581,-0.0269619,4.25533,0.357678
-0.256524,1.00277E-05,-0.256241,0.000100511,0.100777,-0.0269818,4.26252,0.358101
-0.255571,1.09727E-05,-0.255284,0.000104073,0.100777,-0.0269818,4.27026,0.357146
-0.254799,1.17351E-05,-0.254508,0.000107088,0.100777,-0.0269818,4.27687,0.356373
-0.254919,1.16167E-05,-0.254624,0.000107385,0.100777,-0.0269818,4.28452,0.356489
-0.255149,1.13903E-05,-0.25485,0.000107341,0.100777,-0.0269818,4.29143,0.356714
-0.254233,1.22938E-05,-0.25393,0.00011082,0.100777,-0.0269818,4.29956,0.355796
-0.254384,1.21451E-05,-0.254077,0.000110998,0.100777,-0.0269818,4.30702,0.355943
-0.254542,1.19897E-05,-0.254232,0.000111149,0.100777,-0.0269818,4.31515,0.356097
-0.254788,1.17479E-05,-0.254473,0.000111021,0.100777,-0.0269818,4.32228,0.356337
-0.253922,1.26007E-05,-0.253603,0.000114379,0.100989,-0.0269757,4.33003,0.355679
-0.254527,1.20068E-05,-0.254205,0.000113098,0.100989,-0.0269757,4.33717,0.356278
-0.254865,0.000011674,-0.254539,0.000112654,0.100989,-0.0269757,4.3469,0.356611
-0.255115,1.14278E-05,-0.254785,0.000112484,0.100989,-0.0269757,4.3539,0.356856
-0.254258,1.22725E-05,-0.253924,0.000115856,0.100989,-0.0269757,4.36118,0.355997
-0.255045,1.14998E-05,-0.254706,0.000113945,0.100989,-0.0269757,4.36974,0.356777
-0.255667,1.08863E-05,-0.255325,0.000112552,0.100989,-0.0269757,4.37627,0.357393
-0.256427,0.000010136,-0.25608,0.000110704,0.100989,-0.0269757,4.38416,0.358146
-0.255651,0.000010905,-0.2553,0.000113865,0.101097,-0.0270085,4.39084,0.357479
-0.255791,1.07664E-05,-0.255436,0.000114021,0.101097,-0.0270085,4.39919,0.357614
-0.255903,1.06556E-05,-0.255544,0.000114266,0.101097,-0.0270085,4.40591,0.357722
-0.256184,1.03776E-05,-0.255821,0.000113947,0.101097,-0.0270085,4.41403,0.357998
-0.255374,1.11797E-05,-0.255006,0.000117254,0.101097,-0.0270085,4.4209,0.357186
-0.255934,1.06267E-05,-0.255563,0.000115986,0.101097,-0.0270085,4.4282,0.35774
-0.256907,0.000009665,-0.256531,0.000113325,0.101097,-0.0270085,4.43735,0.358705
