Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.256051,3.35175E-05,-0.0108196,0.000399867,0.100581,-0.0269619,4.49237,0.114712
-0.255085,3.44744E-05,-0.00968777,0.000406821,0.100581,-0.0269619,4.50092,0.113615
-0.255248,3.43134E-05,-0.00968737,0.000403612,0.100581,-0.0269619,4.51142,0.113614
-0.255521,3.40438E-05,-0.00979693,0.000399449,0.100777,-0.0269818,4.51938,0.113914
-0.255759,3.38085E-05,-0.00987218,0.000395634,0.100777,-0.0269818,4.52645,0.113987
-0.254759,3.47972E-05,-0.00872572,0.000402949,0.100777,-0.0269818,4.53497,0.112876
-0.254873,3.46854E-05,-0.0086946,0.000400224,0.100777,-0.0269818,4.54218,0.112845
-0.255146,3.44165E-05,-0.00882246,0.000396092,0.100777,-0.0269818,4.55042,0.112968
-0.255361,3.42042E-05,-0.00889311,0.000392512,0.100777,-0.0269818,4.55711,0.113036
-0.254474,3.50802E-05,-0.00787542,0.000398862,0.100777,-0.0269818,4.56515,0.11205
-0.254629,3.49276E-05,-0.00790096,0.000395801,0.100777,-0.0269818,4.57244,0.112074
-0.254755,3.48031E-05,-0.0078954,0.000392987,0.100777,-0.0269818,4.57892,0.112068
-0.255025,3.45377E-05,-0.00803244,0.00038891,0.100777,-0.0269818,4.58678,0.1122
-0.254184,3.53661E-05,-0.0070726,0.000394847,0.100989,-0.0269757,4.5939,0.111474
-0.254907,3.46562E-05,-0.00766895,0.000386688,0.100989,-0.0269757,4.60295,0.11205
-0.25523,3.43372E-05,-0.00786539,0.000382177,0.100989,-0.0269757,4.61206,0.112239
-0.25416,3.53935E-05,-0.00668264,0.000390258,0.100989,-0.0269757,4.62124,0.111095
-0.253353,3.61861E-05,-0.00577539,0.000395904,0.100989,-0.0269757,4.62833,0.110217
-0.254202,3.53549E-05,-0.00651542,0.000386609,0.100989,-0.0269757,4.63724,0.110932
-0.2549,3.46686E-05,-0.00709926,0.000378737,0.100989,-0.0269757,4.64438,0.111496
-0.254021,3.55354E-05,-0.00611755,0.000385146,0.100989,-0.0269757,4.65199,0.110546
-0.253277,3.62659E-05,-0.00528196,0.000390287,0.101097,-0.0270085,4.65847,0.109851
-0.253452,3.60941E-05,-0.00536517,0.000387107,0.101097,-0.0270085,4.66897,0.109931
-0.253707,3.58445E-05,-0.00552469,0.000383079,0.101097,-0.0270085,4.67624,0.110084
-0.252793,3.67405E-05,-0.004528,0.000389621,0.101097,-0.0270085,4.68403,0.109121
-0.253307,3.62382E-05,-0.0049545,0.000383242,0.101097,-0.0270085,4.69061,0.109532
-0.253962,3.55974E-05,-0.00551595,0.000375642,0.101097,-0.0270085,4.69965,0.110074
-0.25488,3.46957E-05,-0.00633311,0.000365714,0.101097,-0.0270085,4.70782,0.110863
-0.254011,3.55522E-05,-0.005374,0.000372008,0.101097,-0.0270085,4.71551,0.109936
-0.25412,3.54446E-05,-0.00539408,0.000369415,0.10119,-0.0269859,4.72212,0.110039
-0.254231,3.53356E-05,-0.0054159,0.000366831,0.10119,-0.0269859,4.72942,0.11006
-0.255163,3.44197E-05,-0.0062504,0.000356846,0.10119,-0.0269859,4.73888,0.110866
-0.254438,3.51352E-05,-0.00543706,0.000361922,0.10119,-0.0269859,4.74511,0.110079
-0.254551,3.50238E-05,-0.00546261,0.000359378,0.10119,-0.0269859,4.7526,0.110103
-0.255268,3.43185E-05,-0.00608574,0.000351392,0.10119,-0.0269859,4.75999,0.110705
-0.256135,3.34621E-05,-0.0068527,0.000342092,0.10119,-0.0269859,4.76903,0.111446
-0.255279,3.43107E-05,-0.00590343,0.000348584,0.10119,-0.0269859,4.77627,0.110527
-0.255976,3.36228E-05,-0.00650255,0.000340953,0.10119,-0.0269859,4.78548,0.111106
-0.256213,3.33882E-05,-0.00664104,0.000337541,0.101337,-0.0269885,4.79224,0.111382
-0.255153,3.44374E-05,-0.0054953,0.000345908,0.101337,-0.0269885,4.80147,0.110274
-0.255571,0.000034025,-0.00582415,0.000340825,0.101337,-0.0269885,4.80992,0.110591
-0.255986,3.36149E-05,-0.00614721,0.000335804,0.101337,-0.0269885,4.81845,0.110903
-0.256223,0.000033381,-0.00629087,0.000332438,0.101337,-0.0269885,4.82552,0.111042
-0.255128,3.44654E-05,-0.0051155,0.000341174,0.101337,-0.0269885,4.83462,0.109905
-0.25526,0.000034335,-0.00516698,0.000338723,0.101337,-0.0269885,4.84193,0.109954
-0.255542,3.40571E-05,-0.00536646,0.000334935,0.101337,-0.0269885,4.84987,0.110147
-0.255784,0.000033818,-0.00552536,0.000331532,0.101505,-0.0269983,4.85679,0.110464
-0.254674,3.49155E-05,-0.00434408,0.000340426,0.101505,-0.0269983,4.86607,0.109322
-0.255246,3.43521E-05,-0.00484057,0.000333999,0.101505,-0.0269983,4.87309,0.109802
-0.255496,3.41061E-05,-0.00501074,0.000330476,0.101505,-0.0269983,4.8801,0.109966
-0.255778,3.38276E-05,-0.00521206,0.000326682,0.101505,-0.0269983,4.88803,0.11016
-0.254938,3.46575E-05,-0.00430111,0.000333099,0.101505,-0.0269983,4.89522,0.109279
-0.255063,0.000034535,-0.0043537,0.000330725,0.101505,-0.0269983,4.90341,0.109329
-0.256039,3.35724E-05,-0.00525017,0.000320632,0.101505,-0.0269983,4.91292,0.110195
-0.255039,3.45622E-05,-0.0041808,0.00032856,0.101722,-0.0270023,4.9215,0.109373
-0.255163,3.44398E-05,-0.0042354,0.000326225,0.101722,-0.0270023,4.92924,0.109425
-0.2553,3.43049E-05,-0.00430245,0.00032379,0.101722,-0.0270023,4.93767,0.109489
-0.255957,3.36561E-05,-0.00488511,0.000316642,0.101722,-0.0270023,4.94474,0.110052
-0.255025,3.45782E-05,-0.00388805,0.00032399,0.101722,-0.0270023,4.95269,0.109088
-0.25513,3.44745E-05,-0.00392795,0.000321862,0.101722,-0.0270023,4.95982,0.109126
-0.255249,3.43573E-05,-0.0039814,0.000319625,0.101722,-0.0270023,4.96783,0.109178
-0.255513,3.40972E-05,-0.0041751,0.000316226,0.101722,-0.0270023,4.97591,0.109364
-0.254495,3.51022E-05,-0.00309763,0.000324505,0.101722,-0.0270023,4.98458,0.108323
-0.254605,3.49945E-05,-0.00314687,0.000322481,0.101974,-0.0269602,4.99212,0.108603
-0.25488,3.47237E-05,-0.00336012,0.000318964,0.101974,-0.0269602,5.00048,0.108809
-0.253744,3.58425E-05,-0.00217351,0.000328307,0.101974,-0.0269602,5.0101,0.107663
-0.252783,3.67856E-05,-0.00116968,0.000336009,0.101974,-0.0269602,5.01826,0.106694
-0.252879,3.66917E-05,-0.00122313,0.000334044,0.101974,-0.0269602,5.02492,0.106745
-0.253142,3.64343E-05,-0.00144203,0.000330574,0.101974,-0.0269602,5.03299,0.106956
-0.25282,0.00003675,-0.00107847,0.000332456,0.101974,-0.0269602,5.03925,0.106605
-0.252488,3.70747E-05,-0.000708562,0.000334416,0.101974,-0.0269602,5.04578,0.106248
-0.252624,3.69416E-05,-0.000806672,0.000332103,0.101974,-0.0269602,5.05435,0.106342
-0.252849,3.67224E-05,-0.000991444,0.000329003,0.102274,-0.0269528,5.06126,0.106809
-0.253111,3.64658E-05,-0.00121256,0.000325578,0.102274,-0.0269528,5.06905,0.107022
-0.25227,3.72886E-05,-0.000334377,0.000332234,0.102274,-0.0269528,5.07611,0.106174
-0.252924,3.66509E-05,-0.000945981,0.000325245,0.102274,-0.0269528,5.08467,0.106764
-0.253147,3.64325E-05,-0.00112577,0.000322217,0.102274,-0.0269528,5.09125,0.106937
-0.253407,0.000036178,-0.00134082,0.000318873,0.102274,-0.0269528,5.09897,0.107144
-0.252411,3.71539E-05,-0.000308213,0.000326996,0.102274,-0.0269528,5.10758,0.106148
-0.252539,3.70287E-05,-0.000399434,0.000324828,0.102274,-0.0269528,5.11646,0.106235
-0.252773,3.68003E-05,-0.000594863,0.000321712,0.102505,-0.0269985,5.12366,0.106659
-0.251947,0.000037608,0.000262987,0.000328278,0.102505,-0.0269985,5.13122,0.105831
-0.25085,3.86765E-05,0.00138241,0.000337271,0.102505,-0.0269985,5.14009,0.104753
-0.250972,3.85577E-05,0.00128307,0.000335104,0.102505,-0.0269985,5.14881,0.104848
-0.251246,3.82926E-05,0.00103494,0.00033158,0.102505,-0.0269985,5.15621,0.105087
-0.250909,3.86198E-05,0.00139388,0.000333636,0.102505,-0.0269985,5.16258,0.104741
-0.251048,3.84844E-05,0.00127718,0.00033134,0.102505,-0.0269985,5.17156,0.104853
-0.251161,3.83748E-05,0.00119026,0.000329262,0.102505,-0.0269985,5.17892,0.104936
-0.250686,3.88367E-05,0.00168797,0.000332563,0.102505,-0.0269985,5.18775,0.104456
-0.250314,3.91968E-05,0.00207838,0.000334897,0.102715,-0.0269765,5.1947,0.104277
-0.250451,3.90643E-05,0.00196122,0.000332586,0.102715,-0.0269765,5.20331,0.104389
-0.250795,3.87314E-05,0.00163965,0.000328404,0.102715,-0.0269765,5.21378,0.104699
-0.250429,3.90857E-05,0.00202415,0.000330713,0.102715,-0.0269765,5.22173,0.104328
-0.250096,3.94085E-05,0.00237389,0.000332718,0.102715,-0.0269765,5.22919,0.103991
-0.250249,3.92604E-05,0.00223812,0.000330278,0.102715,-0.0269765,5.23812,0.104122
-0.250492,3.90249E-05,0.00201373,0.000327029,0.102715,-0.0269765,5.24546,0.104337
-0.249582,3.99072E-05,0.00293663,0.000334328,0.102715,-0.0269765,5.25318,0.103449
-0.249676,3.98165E-05,0.00285522,0.000332423,0.102893,-0.0269627,5.25968,0.103695
-0.250569,3.89542E-05,0.00198101,0.000323241,0.102893,-0.0269627,5.26927,0.104536
-0.251289,3.82561E-05,0.00128637,0.000315765,0.102893,-0.0269627,5.27699,0.105205
-0.250293,3.92245E-05,0.00230155,0.000324007,0.102893,-0.0269627,5.28552,0.104227
-0.250393,3.91276E-05,0.00222026,0.000322192,0.102893,-0.0269627,5.29222,0.104305
-0.250668,3.88611E-05,0.00196576,0.000318791,0.102893,-0.0269627,5.3005,0.104549
-0.250202,3.93131E-05,0.00244916,0.000322179,0.102893,-0.0269627,5.3096,0.104084
-0.249747,3.97529E-05,0.00291741,0.000325443,0.102893,-0.0269627,5.31847,0.103633
-0.249855,3.96483E-05,0.00282344,0.000323553,0.103003,-0.0269776,5.32551,0.103833
-0.25016,3.93535E-05,0.00253463,0.000319877,0.103003,-0.0269776,5.33457,0.10411
-0.249309,4.01774E-05,0.00339646,0.000326786,0.103003,-0.0269776,5.34179,0.103281
-0.250053,3.94594E-05,0.00266691,0.000319083,0.103003,-0.0269776,5.34995,0.103983
-0.250683,3.88511E-05,0.00205732,0.000312476,0.103003,-0.0269776,5.35686,0.104569
-0.250913,3.86279E-05,0.00184791,0.000309546,0.103003,-0.0269776,5.36328,0.104771
-0.249895,3.96156E-05,0.00287956,0.000318041,0.103003,-0.0269776,5.37201,0.103777
-0.250474,3.90557E-05,0.002319,0.000311774,0.103003,-0.0269776,5.37913,0.104316
-0.251134,3.84165E-05,0.00168224,0.000304804,0.103003,-0.0269776,5.38722,0.104929
-0.251365,3.81923E-05,0.00147589,0.000301791,0.103171,-0.0269946,5.39395,0.105295
-0.250343,3.91856E-05,0.00251518,0.00031025,0.103171,-0.0269946,5.40281,0.104293
-0.250496,3.90374E-05,0.00238028,0.000307924,0.103171,-0.0269946,5.41206,0.104423
-0.25101,0.00003854,0.00188829,0.000302317,0.103171,-0.0269946,5.42032,0.104896
-0.251442,3.81209E-05,0.00148067,0.000297486,0.103171,-0.0269946,5.4273,0.105289
-0.25045,3.90846E-05,0.00248914,0.000305695,0.103171,-0.0269946,5.4358,0.104317
-0.250548,3.89897E-05,0.00240891,0.000303903,0.103171,-0.0269946,5.44272,0.104394
-0.250849,3.86984E-05,0.00212779,0.000300268,0.103171,-0.0269946,5.45128,0.104665
-0.251095,3.84602E-05,0.00190324,0.000297157,0.103342,-0.0269888,5.45822,0.105045
-0.250029,3.94948E-05,0.00298261,0.000306056,0.103342,-0.0269888,5.46729,0.104005
-0.250157,3.93711E-05,0.00287077,0.000304013,0.103342,-0.0269888,5.47487,0.104112
-0.250435,3.91025E-05,0.00261079,0.000300612,0.103342,-0.0269888,5.48313,0.104362
-0.250079,3.94463E-05,0.00298109,0.000303015,0.103342,-0.0269888,5.48953,0.104006
-0.249683,3.98293E-05,0.00338967,0.000305783,0.103342,-0.0269888,5.49676,0.103612
-0.249846,3.96725E-05,0.00324059,0.00030343,0.103342,-0.0269888,5.50606,0.103755
-0.250102,3.94251E-05,0.00299945,0.000300234,0.103342,-0.0269888,5.51343,0.103987
-0.249759,3.97565E-05,0.00335476,0.000302531,0.103342,-0.0269888,5.52193,0.103645
-0.249882,3.96381E-05,0.00324544,0.000300561,0.103479,-0.0270007,5.52934,0.103886
-0.250278,3.92551E-05,0.0028647,0.000296098,0.103479,-0.0270007,5.54078,0.104252
-0.250505,3.90357E-05,0.0026551,0.000293211,0.103479,-0.0270007,5.54781,0.104453
-0.249493,4.00155E-05,0.0036769,0.000301664,0.103479,-0.0270007,5.55672,0.10347
-0.249616,0.000039897,0.00356511,0.000299701,0.103479,-0.0270007,5.56457,0.103577
-0.249868,3.96539E-05,0.0033257,0.000296568,0.103479,-0.0270007,5.5717,0.103807
-0.250102,3.94274E-05,0.00310679,0.000293627,0.103479,-0.0270007,5.57873,0.104018
-0.249074,4.04221E-05,0.00414406,0.000302254,0.103479,-0.0270007,5.5874,0.103019
-0.249184,4.03157E-05,0.00404297,0.000300422,0.103678,-0.0269779,5.59461,0.103301
-0.249474,4.00363E-05,0.00376407,0.000296957,0.103678,-0.0269779,5.60299,0.10357
-0.248477,4.09981E-05,0.00476585,0.000305284,0.103678,-0.0269779,5.6116,0.102606
-0.248601,4.08794E-05,0.00464767,0.00030332,0.103678,-0.0269779,5.62025,0.102719
-0.248712,4.07724E-05,0.00454243,0.000301479,0.103678,-0.0269779,5.6278,0.10282
-0.249009,4.04871E-05,0.00425371,0.000297954,0.103678,-0.0269779,5.63692,0.103098
-0.248638,4.08436E-05,0.00462944,0.000300546,0.103678,-0.0269779,5.64397,0.102736
-0.248803,4.06858E-05,0.00447174,0.000298238,0.103678,-0.0269779,5.65362,0.102887
-0.249065,4.04338E-05,0.00421787,0.000295047,0.103927,-0.026955,5.66117,0.103366
-0.248002,4.14574E-05,0.0052821,0.000303993,0.103927,-0.026955,5.67029,0.102342
-0.247225,4.22024E-05,0.00605772,0.000310378,0.103927,-0.026955,5.67696,0.101597
-0.247361,4.20725E-05,0.00592145,0.000308386,0.103927,-0.026955,5.68626,0.101727
-0.247651,4.17951E-05,0.00563282,0.000304995,0.103927,-0.026955,5.69504,0.102005
-0.246477,4.29188E-05,0.00680053,0.000315007,0.103927,-0.026955,5.70523,0.100883
-0.246595,4.28068E-05,0.0066779,0.000313164,0.103927,-0.026955,5.71239,0.101
-0.246893,4.25227E-05,0.0063767,0.000309681,0.103927,-0.026955,5.7211,0.101289
-0.247145,4.22819E-05,0.00612293,0.000306634,0.104163,-0.0269691,5.72837,0.101764
-0.246223,4.31627E-05,0.00703736,0.000314339,0.104163,-0.0269691,5.73623,0.100885
-0.246324,0.000043067,0.00693028,0.000312664,0.104163,-0.0269691,5.74278,0.100988
-0.246632,4.27732E-05,0.00661716,0.000309096,0.104163,-0.0269691,5.75143,0.101288
-0.246754,4.26575E-05,0.00649198,0.000307258,0.104163,-0.0269691,5.75953,0.101408
-0.246883,4.25336E-05,0.00635916,0.000305353,0.104163,-0.0269691,5.76817,0.101536
-0.24699,0.000042432,0.00625247,0.000303544,0.104163,-0.0269691,5.77523,0.101638
-0.24787,4.15917E-05,0.00537763,0.000294667,0.104163,-0.0269691,5.7841,0.102479
-0.247026,4.24007E-05,0.00622161,0.000301607,0.104163,-0.0269691,5.79231,0.101667
-0.247786,4.16741E-05,0.00546544,0.000293831,0.104383,-0.0270115,5.8006,0.102618
-0.248692,4.08066E-05,0.00456977,0.000284763,0.104383,-0.0270115,5.8096,0.103479
-0.249623,3.99114E-05,0.00365423,0.000275502,0.104383,-0.0270115,5.81896,0.10436
-0.248769,4.07355E-05,0.0045181,0.000282627,0.104383,-0.0270115,5.82653,0.103528
-0.248902,4.06078E-05,0.00439613,0.000280683,0.104383,-0.0270115,5.83496,0.103645
-0.249126,4.03921E-05,0.00418411,0.000277913,0.104383,-0.0270115,5.84176,0.103849
-0.248019,4.14585E-05,0.00529647,0.000287346,0.104383,-0.0270115,5.85125,0.102779
-0.247197,4.22468E-05,0.00611895,0.000294122,0.104383,-0.0270115,5.85828,0.101988
-0.247351,4.20989E-05,0.00596568,0.000291927,0.104546,-0.0269797,5.86747,0.102283
-0.24758,0.00004188,0.00574101,0.000289179,0.104546,-0.0269797,5.8743,0.102499
-0.247699,4.17662E-05,0.00562707,0.000287452,0.104546,-0.0269797,5.88273,0.102608
-0.247811,4.16594E-05,0.00552095,0.000285799,0.104546,-0.0269797,5.88995,0.10271
-0.24792,4.15543E-05,0.00541743,0.000284173,0.104546,-0.0269797,5.89784,0.10281
-0.248187,4.12986E-05,0.00515827,0.000281116,0.104546,-0.0269797,5.90545,0.103059
