Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.30123,1.58638E-05,0.00307298,4.03342E-05,0.101505,-0.0269983,5.23135,0.102078
-0.301568,1.54702E-05,0.00317532,3.76992E-05,0.101505,-0.0269983,5.24098,0.101979
-0.300643,1.65482E-05,0.00369243,4.50997E-05,0.101505,-0.0269983,5.24888,0.101482
-0.300771,1.63995E-05,0.00348938,4.32694E-05,0.101505,-0.0269983,5.2573,0.101677
-0.301676,1.53474E-05,0.00311824,0.0000356,0.101505,-0.0269983,5.26604,0.102033
-0.300647,0.000016547,0.00370988,4.39253E-05,0.101722,-0.0270023,5.27492,0.101675
-0.300769,1.64054E-05,0.00349834,4.21665E-05,0.101722,-0.0270023,5.28242,0.101879
-0.300904,1.62482E-05,0.00341309,4.05834E-05,0.101722,-0.0270023,5.29084,0.101961
-0.30156,1.54854E-05,0.00318312,3.49358E-05,0.101722,-0.0270023,5.29784,0.102181
-0.3005,1.67204E-05,0.00374629,4.34682E-05,0.101722,-0.0270023,5.30691,0.10164
-0.300604,0.0000166,0.00351909,4.18215E-05,0.101722,-0.0270023,5.31395,0.101859
-0.300705,1.64832E-05,0.0034341,4.04844E-05,0.101722,-0.0270023,5.32115,0.10194
-0.300968,1.61767E-05,0.00355992,0.000039092,0.101722,-0.0270023,5.32907,0.101819
-0.300067,1.72253E-05,0.00404959,0.000047336,0.101722,-0.0270023,5.33672,0.101349
-0.300205,1.70644E-05,0.00384065,4.62591E-05,0.101974,-0.0269602,5.34605,0.101781
-0.300307,1.69461E-05,0.00377545,4.56802E-05,0.101974,-0.0269602,5.3532,0.101844
-0.300607,1.65984E-05,0.00367599,4.35668E-05,0.101974,-0.0269602,5.36221,0.101939
-0.299768,1.75735E-05,0.00407003,5.11052E-05,0.101974,-0.0269602,5.36957,0.101561
-0.299886,1.74366E-05,0.00385628,5.01151E-05,0.101974,-0.0269602,5.37745,0.101767
-0.300112,1.71749E-05,0.00373436,4.84028E-05,0.101974,-0.0269602,5.38438,0.101884
-0.29966,1.76992E-05,0.00394509,0.000052472,0.101974,-0.0269602,5.3933,0.101682
-0.299311,1.81033E-05,0.00398619,5.54679E-05,0.101974,-0.0269602,5.40005,0.101643
-0.299439,1.79544E-05,0.00382049,5.43054E-05,0.102274,-0.0269528,5.40817,0.102091
-0.299677,1.76793E-05,0.00371627,5.23906E-05,0.102274,-0.0269528,5.41546,0.102191
-0.298664,1.88524E-05,0.00415081,6.10736E-05,0.102274,-0.0269528,5.42387,0.101774
-0.297799,1.98503E-05,0.00452756,6.77061E-05,0.102274,-0.0269528,5.43135,0.101412
-0.298424,1.91313E-05,0.00410558,6.16246E-05,0.102274,-0.0269528,5.43946,0.101818
-0.298658,1.88613E-05,0.00409355,5.94617E-05,0.102274,-0.0269528,5.44621,0.101829
-0.297738,1.99235E-05,0.00452693,6.69756E-05,0.102274,-0.0269528,5.4542,0.101413
-0.296658,2.11656E-05,0.0047507,7.45994E-05,0.102274,-0.0269528,5.46327,0.101199
-0.296756,2.10536E-05,0.0043901,7.15996E-05,0.102274,-0.0269528,5.47015,0.101546
-0.297007,2.07659E-05,0.00419518,6.80029E-05,0.102505,-0.0269985,5.47786,0.101968
-0.296192,2.17015E-05,0.0045258,7.34207E-05,0.102505,-0.0269985,5.48474,0.101651
-0.296339,0.000021533,0.00428585,7.04247E-05,0.102505,-0.0269985,5.49487,0.101881
-0.29644,2.14172E-05,0.00421246,6.83102E-05,0.102505,-0.0269985,5.50178,0.101951
-0.296709,2.11092E-05,0.00412101,6.51676E-05,0.102505,-0.0269985,5.5095,0.102039
-0.296361,2.15085E-05,0.00432045,6.74999E-05,0.102505,-0.0269985,5.51613,0.101847
-0.296505,2.13438E-05,0.00420942,6.55267E-05,0.102505,-0.0269985,5.52538,0.101954
-0.296609,2.12245E-05,0.00438074,0.000063356,0.102505,-0.0269985,5.53202,0.101788
-0.296218,2.16719E-05,0.00463339,6.53996E-05,0.102505,-0.0269985,5.53934,0.101545
-0.29584,2.21049E-05,0.00472471,6.70553E-05,0.102715,-0.0269765,5.54641,0.101654
-0.295953,2.19757E-05,0.00457294,6.45303E-05,0.102715,-0.0269765,5.55355,0.101799
-0.296309,2.15685E-05,0.00442364,6.03931E-05,0.102715,-0.0269765,5.56436,0.101942
-0.296556,2.12857E-05,0.00440807,5.75948E-05,0.102715,-0.0269765,5.5722,0.101957
-0.296204,2.16889E-05,0.00462907,5.99919E-05,0.102715,-0.0269765,5.57948,0.101744
-0.296325,2.15507E-05,0.0045337,5.82171E-05,0.102715,-0.0269765,5.58692,0.101836
-0.296681,0.000021143,0.00440882,5.47103E-05,0.102715,-0.0269765,5.59732,0.101955
-0.295803,2.21501E-05,0.00482873,6.17948E-05,0.102715,-0.0269765,5.60548,0.101552
-0.295912,2.20251E-05,0.00461375,5.99354E-05,0.102893,-0.0269627,5.61238,0.101927
-0.296013,2.19102E-05,0.00453555,5.83616E-05,0.102893,-0.0269627,5.61963,0.102001
-0.296982,2.08012E-05,0.00433801,5.08809E-05,0.102893,-0.0269627,5.62976,0.10219
-0.296181,0.000021721,0.00493312,5.86246E-05,0.102893,-0.0269627,5.63664,0.101618
-0.296301,2.15826E-05,0.0048091,5.78772E-05,0.102893,-0.0269627,5.64476,0.101738
-0.29641,2.14581E-05,0.00476665,5.72962E-05,0.102893,-0.0269627,5.65211,0.101778
-0.295805,2.21516E-05,0.0050202,6.29078E-05,0.102893,-0.0269627,5.66388,0.101535
-0.295415,2.25968E-05,0.00503525,6.64493E-05,0.102893,-0.0269627,5.67174,0.101522
-0.295537,2.24575E-05,0.00484732,6.53757E-05,0.103003,-0.0269776,5.67949,0.101812
-0.295804,2.21529E-05,0.00472133,6.31701E-05,0.103003,-0.0269776,5.68735,0.101933
-0.294464,2.36847E-05,0.00528029,7.50984E-05,0.103003,-0.0269776,5.69872,0.101398
-0.295168,2.28832E-05,0.00471968,6.85473E-05,0.103003,-0.0269776,5.70645,0.101936
-0.295419,2.25974E-05,0.00467893,6.63915E-05,0.103003,-0.0269776,5.71342,0.101975
-0.295691,2.22862E-05,0.00465516,6.41811E-05,0.103003,-0.0269776,5.72176,0.101997
-0.294692,2.34287E-05,0.00525169,7.08199E-05,0.103003,-0.0269776,5.72983,0.101424
-0.295301,2.27348E-05,0.004868,6.39009E-05,0.103003,-0.0269776,5.73734,0.101792
-0.29559,2.24045E-05,0.00484391,6.04053E-05,0.103171,-0.0269946,5.74558,0.101981
-0.294733,2.33841E-05,0.00526961,6.62477E-05,0.103171,-0.0269946,5.75296,0.101572
-0.294889,2.32062E-05,0.00504651,6.31843E-05,0.103171,-0.0269946,5.76235,0.101786
-0.29501,2.30679E-05,0.00497518,6.07942E-05,0.103171,-0.0269946,5.76974,0.101855
-0.29553,2.24749E-05,0.00479717,5.55334E-05,0.103171,-0.0269946,5.77813,0.102025
-0.294755,0.000023361,0.00522102,6.11184E-05,0.103171,-0.0269946,5.78474,0.101618
-0.29487,2.32291E-05,0.00504347,5.88079E-05,0.103171,-0.0269946,5.79306,0.101788
-0.294974,2.31114E-05,0.00498091,5.68748E-05,0.103171,-0.0269946,5.80032,0.101848
-0.295262,2.27831E-05,0.00488719,5.36708E-05,0.103171,-0.0269946,5.80851,0.101938
-0.294352,2.38209E-05,0.0053056,6.02621E-05,0.103342,-0.0269888,5.81621,0.1017
-0.294488,2.36662E-05,0.00506786,5.76683E-05,0.103342,-0.0269888,5.8243,0.101928
-0.294604,2.35347E-05,0.00514169,5.58506E-05,0.103342,-0.0269888,5.83127,0.101856
-0.294895,2.32026E-05,0.00510308,5.28025E-05,0.103342,-0.0269888,5.83983,0.101893
-0.294494,2.36602E-05,0.00535119,5.55269E-05,0.103342,-0.0269888,5.84729,0.101654
-0.294651,2.34809E-05,0.00523332,5.34275E-05,0.103342,-0.0269888,5.85642,0.101767
-0.294947,2.31448E-05,0.00513658,5.04619E-05,0.103342,-0.0269888,5.86455,0.10186
-0.294611,2.35279E-05,0.00533894,5.27992E-05,0.103342,-0.0269888,5.87297,0.101665
-0.29431,2.38703E-05,0.00540236,5.45752E-05,0.103479,-0.0270007,5.88039,0.10174
-0.294441,2.37212E-05,0.00526272,5.26827E-05,0.103479,-0.0270007,5.88845,0.101874
-0.29473,2.33918E-05,0.0051498,4.97422E-05,0.103479,-0.0270007,5.8966,0.101983
-0.293933,2.42999E-05,0.00551896,0.000055857,0.103479,-0.0270007,5.9042,0.101628
-0.29408,2.41333E-05,0.00530096,5.36108E-05,0.103479,-0.0270007,5.91298,0.101838
-0.294195,2.40023E-05,0.00523024,5.19081E-05,0.103479,-0.0270007,5.91992,0.101906
-0.294477,2.36819E-05,0.00529078,4.93258E-05,0.103479,-0.0270007,5.9283,0.101847
-0.29363,2.46456E-05,0.0057416,5.60561E-05,0.103479,-0.0270007,5.93557,0.101414
-0.293777,2.44789E-05,0.00553561,5.39123E-05,0.103678,-0.0269779,5.94507,0.101797
-0.293889,0.000024352,0.0054709,5.23287E-05,0.103678,-0.0269779,5.95229,0.101859
-0.294205,2.39924E-05,0.00536893,4.92853E-05,0.103678,-0.0269779,5.96149,0.101956
-0.293162,2.51789E-05,0.00584493,5.75313E-05,0.103678,-0.0269779,5.97096,0.1015
-0.293289,2.50351E-05,0.00558227,5.53005E-05,0.103678,-0.0269779,5.97944,0.101752
-0.293499,2.47968E-05,0.00545122,5.27238E-05,0.103678,-0.0269779,5.98566,0.101878
-0.293042,2.53146E-05,0.00565421,0.000055778,0.103678,-0.0269779,5.99445,0.101683
-0.292675,2.57304E-05,0.00569754,5.76702E-05,0.103678,-0.0269779,6.00152,0.101642
-0.292823,2.55632E-05,0.00551858,0.000055199,0.103678,-0.0269779,6.01019,0.101814
-0.293054,2.53024E-05,0.00541939,5.24043E-05,0.103927,-0.026955,6.01682,0.102143
-0.292078,2.64073E-05,0.00583895,5.95815E-05,0.103927,-0.026955,6.02529,0.101741
-0.292188,2.62835E-05,0.00581292,5.94853E-05,0.103927,-0.026955,6.03251,0.101766
-0.292327,2.61257E-05,0.00579184,5.90303E-05,0.103927,-0.026955,6.04192,0.101786
-0.292569,2.58525E-05,0.00574502,5.76018E-05,0.103927,-0.026955,6.04934,0.101831
-0.291571,2.69809E-05,0.0061969,6.74137E-05,0.103927,-0.026955,6.05799,0.101398
-0.291671,2.68683E-05,0.00595249,6.68102E-05,0.103927,-0.026955,6.06409,0.101633
-0.291812,2.67096E-05,0.00584423,6.58394E-05,0.103927,-0.026955,6.07318,0.101737
-0.29207,0.000026419,0.00575883,6.38871E-05,0.104163,-0.0269691,6.08021,0.10205
-0.291266,2.73264E-05,0.0061292,7.13924E-05,0.104163,-0.0269691,6.08712,0.101695
-0.291405,2.71695E-05,0.00591168,7.01135E-05,0.104163,-0.0269691,6.09628,0.101904
-0.29176,2.67702E-05,0.00574807,6.71122E-05,0.104163,-0.0269691,6.10672,0.102061
-0.291874,2.66412E-05,0.00577681,6.63391E-05,0.104163,-0.0269691,6.11378,0.102033
-0.291982,2.65196E-05,0.00579007,6.56351E-05,0.104163,-0.0269691,6.12157,0.10202
-0.292125,2.63581E-05,0.00599687,6.30217E-05,0.104163,-0.0269691,6.13052,0.10182
-0.292894,2.54896E-05,0.00583769,5.57591E-05,0.104163,-0.0269691,6.1386,0.101972
